Material;Unit;Total Quantity;Columns & Beams;Floors;Foundations;Roofs;Walls;Project Extra Materials;Mass Value;Mass Unit
2" Insulated Metal Panel;m2;13,896.5914;0.0000;0.0000;0.0000;0.0000;13,896.5914;0.0000;204.9275;Tonnes
5/8"  Fire-Rated Type X Gypsum Board;m2;28,158.6515;0.0000;12,567.5208;0.0000;1,047.4920;9,171.7503;5,371.8883;295.9474;Tonnes
6 mil Polyethylene;m2;10,906.0194;0.0000;0.0000;1,050.9537;1,010.1632;8,844.9025;0.0000;1.6359;Tonnes
8" Normal Weight Concrete Block;Blocks;81,372.2631;0.0000;0.0000;0.0000;0.0000;81,372.2631;0.0000;1,442.7302;Tonnes
Aluminum Clad Wood Window Frame;kg;25,506.4771;0.0000;0.0000;0.0000;0.0000;25,506.4771;0.0000;25.5065;Tonnes
Aluminum Extrusion;Tonnes;26.3464;0.0000;0.0000;0.0000;0.0000;26.3464;0.0000;26.3464;Tonnes
Concrete Benchmark  USA 4000 psi;m3;322.9724;322.9724;0.0000;0.0000;0.0000;0.0000;0.0000;744.9106;Tonnes
Concrete Benchmark  USA 5000 psi;m3;5,275.3085;0.0000;3,850.7229;1,096.9070;327.6787;0.0000;0.0000;12,117.6381;Tonnes
EPDM membrane (black, 60 mil);m2;909.2821;0.0000;0.0000;0.0000;0.0000;909.2821;0.0000;1.7276;Tonnes
Extruded Polystyrene;m2 (25mm);4,124.4733;0.0000;0.0000;4,124.4733;0.0000;0.0000;0.0000;5.0731;Tonnes
Glazing Panel;Tonnes;125.8115;0.0000;0.0000;0.0000;0.0000;125.8115;0.0000;125.8115;Tonnes
Grout-Coarse;m3;223.7050;0.0000;0.0000;0.0000;0.0000;223.7050;0.0000;477.8338;Tonnes
Joint Compound;Tonnes;22.7416;0.0000;12.5426;0.0000;1.0454;9.1536;0.0000;22.7416;Tonnes
Mortar;m3;138.1913;0.0000;0.0000;0.0000;0.0000;138.1913;0.0000;260.9052;Tonnes
MW Batt R20;m2 (25mm);52,711.4512;0.0000;0.0000;0.0000;5,403.0251;47,308.4260;0.0000;69.6495;Tonnes
Nails;Tonnes;1.2891;0.0000;0.1177;0.0612;0.0687;1.0415;0.0000;1.2891;Tonnes
Paper Tape;Tonnes;0.2610;0.0000;0.1440;0.0000;0.0120;0.1051;0.0000;0.2610;Tonnes
Rebar, Rod, Light Sections;Tonnes;487.3093;164.6531;201.8279;90.6668;17.2489;12.9126;0.0000;487.3093;Tonnes
Screws Nuts & Bolts;Tonnes;1.1397;0.0000;0.0000;0.0000;0.0000;1.1397;0.0000;1.1397;Tonnes
Small Dimension Softwood Lumber, kiln-dried;m3;17.4960;0.0000;0.0000;0.0000;0.0000;17.4960;0.0000;7.4031;Tonnes
Solvent Based Alkyd Paint;L;1,486.1055;0.0000;1,486.1055;0.0000;0.0000;0.0000;0.0000;1.1146;Tonnes
Spandrel Panel;Tonnes;10.9645;0.0000;0.0000;0.0000;0.0000;10.9645;0.0000;10.9645;Tonnes
Triple Glazed Hard Coated Argon;m2;5,181.6657;0.0000;0.0000;0.0000;0.0000;5,181.6657;0.0000;129.1595;Tonnes
Water Based Latex Paint;L;33,542.8657;0.0000;18,587.0428;0.0000;0.0000;14,955.8229;0.0000;25.1571;Tonnes
2" Insulated Metal Panel;m2;12,393.5751;0.0000;0.0000;0.0000;0.0000;12,393.5751;0.0000;182.7631;Tonnes
5/8"  Fire-Rated Type X Gypsum Board;m2;98,951.7168;0.0000;37,708.9567;0.0000;0.0000;17,290.7049;43,952.0551;1,039.9825;Tonnes
6 mil Polyethylene;m2;9,538.3770;0.0000;0.0000;678.8230;971.2913;7,888.2627;0.0000;1.4308;Tonnes
Air Barrier;m2;0.9476;0.0000;0.0000;0.0000;0.0000;0.0000;0.9476;0.0001;Tonnes
Aluminum Clad Wood Window Frame;kg;24,126.9193;0.0000;0.0000;0.0000;0.0000;24,126.9193;0.0000;24.1269;Tonnes
Aluminum Extrusion;Tonnes;23.5727;0.0000;0.0000;0.0000;0.0000;23.5727;0.0000;23.5727;Tonnes
Ballast (aggregate stone);kg;195,624.5285;0.0000;0.0000;0.0000;195,624.5285;0.0000;0.0000;195.6245;Tonnes
Blown Cellulose;m2 (25mm);999.8701;0.0000;0.0000;0.0000;999.8701;0.0000;0.0000;0.6399;Tonnes
Concrete Benchmark  USA 2500 psi;m3;599.9152;0.0000;599.9152;0.0000;0.0000;0.0000;0.0000;1,373.7632;Tonnes
Concrete Benchmark  USA 3000 psi;m3;506.0749;0.0000;0.0000;506.0749;0.0000;0.0000;0.0000;1,160.6168;Tonnes
Cross Laminated Timber;m3;4,148.4614;0.0000;3,350.5250;0.0000;279.2104;518.7259;0.0000;1,972.3860;Tonnes
EPDM membrane (black, 60 mil);m2;5,862.8401;0.0000;0.0000;0.0000;5,049.2864;813.5536;0.0000;11.1394;Tonnes
Extruded Polystyrene;m2 (25mm);6,625.3813;0.0000;0.0000;2,664.0409;3,961.3404;0.0000;0.0000;8.1492;Tonnes
Galvanized Sheet;Tonnes;0.4131;0.0000;0.0000;0.0000;0.4131;0.0000;0.0000;0.4131;Tonnes
Glazing Panel;Tonnes;112.5661;0.0000;0.0000;0.0000;0.0000;112.5661;0.0000;112.5661;Tonnes
GluLam Sections;m3;972.4623;972.4623;0.0000;0.0000;0.0000;0.0000;0.0000;454.4316;Tonnes
Hollow Structural Steel;Tonnes;8.1846;0.0000;0.0000;0.0000;0.0000;8.1846;0.0000;8.1846;Tonnes
Joint Compound;Tonnes;54.8907;0.0000;37.6342;0.0000;0.0000;17.2564;0.0000;54.8907;Tonnes
